#,Questions,Reference SPARQL Query,Complexity
1," ""Which plant has extracts containing compounds that demonstrated inhibition rates above 50% against Trypanosoma cruzi and are above 800 Da in mass? Provide the lab extracts.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?plant ?labExtract
  WHERE {
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?feature_list .
      ?feature_list ns1:has_lcms_feature ?feature .
      ?feature ns1:has_parent_mass ?mass .
      FILTER(?mass > 800)
      ?labExtract ns2:has_bioassay_results ?bioAssayResult .
      ?bioAssayResult ns2:inhibition_percentage ?inhibition .
      FILTER(?inhibition > 50)
      ?bioAssayResult ns2:target_id <https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL368> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?rawMaterial ns1:submitted_taxon ?plant .
  }",High
2,"""Filter the pos ionization mode features of the Melochia umbellata taxon annotated as [M+H]+ by SIRIUS to keep the ones for which a feature in neg ionization mode is detected with the same retention time (+/- 3 seconds) and a mass corresponding to the [M-H]- SIRIUS adduct (+/- 5ppm). Provide the features and retention time.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>

SELECT ?posFeature ?negFeature
WHERE {
    ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q6813281> ;
                 ns1:has_lab_process ?labExtract .
    ?labExtract ns1:has_LCMS ?posAnalysis, ?negAnalysis .
    ?posAnalysis a ns1:LCMSAnalysisPos ;
                 ns1:has_lcms_feature_list ?posFeatureList .
    ?negAnalysis a ns1:LCMSAnalysisNeg ;
                 ns1:has_lcms_feature_list ?negFeatureList .
    ?posFeatureList ns1:has_lcms_feature ?posFeature .
    ?negFeatureList ns1:has_lcms_feature ?negFeature .
    ?posFeature ns1:has_sirius_annotation ?posAnnotation ;
                ns1:has_retention_time ?posRT ;
                ns1:has_parent_mass ?posMass .
    ?negFeature ns1:has_sirius_annotation ?negAnnotation ;
                ns1:has_retention_time ?negRT ;
                ns1:has_parent_mass ?negMass .
    ?posAnnotation ns1:has_sirius_adduct ""[M+H]+"" .
    ?negAnnotation ns1:has_sirius_adduct ""[M-H]-"" .
    FILTER (ABS(?posRT - ?negRT) <= 3)
    FILTER (ABS(?posMass - ?negMass) / ?posMass <= 0.000005)
}",High
3," ""How unique InChIKey2D are among the structural annotations?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT (COUNT(DISTINCT ?InChIkey2D) AS ?uniqueInChIkey2DCount)
  WHERE {
      ?annotation ns1:has_InChIkey2D ?InChIkey2D .
  }",Low
4," ""What are the retention times and molecular masses of compounds identified in the negative ionization mode LCMS analysis from  Lovoa trichilioides extracts, and what are the CANOPUS chemical class annotations for those features?""
","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>
  PREFIX wd: <http://www.wikidata.org/entity/>

  SELECT ?retentionTime ?molecularMass ?canopusClass
  WHERE {
      ?rawMaterial ns1:has_wd_id wd:Q8008828 .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?lcmsAnalysisNeg .
      ?lcmsAnalysisNeg a ns1:LCMSAnalysisNeg .
      ?lcmsAnalysisNeg ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:has_retention_time ?retentionTime .
      ?feature ns1:has_parent_mass ?molecularMass .
      ?feature ns1:has_canopus_annotation ?canopusAnnotation .
      ?canopusAnnotation ns1:has_canopus_npc_class ?canopusClass .
  }",High
5," ""What are the retention times and adduct types of LCMS features from Desmodium heterophyllum annotated by SIRIUS with a cosmic score greater than 0.4??""
","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?retentionTime ?adduct
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q10770714> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:has_retention_time ?retentionTime .
      ?feature ns1:has_sirius_annotation ?siriusAnnotation .
      ?siriusAnnotation ns1:has_cosmic_score ?cosmicScore .
      ?siriusAnnotation ns1:has_adduct ?adduct .
      FILTER(?cosmicScore > 0.4)
  }",High
6," ""What are the LCMS features that have feature areas greater than 1,000,000 in positive ionization mode ? Sort by decreasing feature area value.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT ?feature
  WHERE {
      ?analysis a ns1:LCMSAnalysisPos .
      ?analysis ns1:has_lcms_feature_list ?feature_list .
      ?feature_list ns1:has_lcms_feature ?feature .
      ?feature ns1:has_feature_area ?area .
      FILTER(?area > 1000000)
  } ORDER BY DESC(?area)",Low
7," ""Can you provide the SMILES notation and the Wikidata IDs for the compound with the highest precusor ion mass in the MS2 spectra from extracts of Lovoa trichilioides by looking at SIRIUS annotations?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>

SELECT ?smiles ?wd_id
WHERE {
    ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q8008828> .
    ?rawMaterial ns1:has_lab_process ?labExtract .
    ?labExtract ns1:has_LCMS ?analysis .
    ?analysis ns1:has_lcms_feature_list ?feature_list .
    ?feature_list ns1:has_lcms_feature ?feature .
    ?feature ns1:has_sirius_annotation ?annotation .
    ?annotation ns1:has_InChIkey2D ?InChIkey2D .
    ?InChIkey2D ns1:is_InChIkey2D_of ?chemicalEntity .
    ?chemicalEntity ns1:has_smiles ?smiles ;
                    ns1:has_wd_id ?wd_id .
    ?feature ns1:has_parent_mass ?mass .
}
ORDER BY DESC(?mass)
LIMIT 1",High
8," ""Retrieve the most frequent Spec2Vec peaks and losses characterizing the MS2 spectra from the lab extracts of Tabernaemontana coffeoides.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>
  PREFIX wd: <http://www.wikidata.org/entity/>

  SELECT ?spec2vecPeak ?spec2vecLoss (COUNT(?spec2vecPeak) AS ?peakFrequency) (COUNT(?spec2vecLoss) AS ?lossFrequency)
  WHERE {
      ?rawMaterial ns1:has_wd_id wd:Q15376858 .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:has_spec2vec_doc ?spec2vecDoc .
      ?spec2vecDoc ns1:has_spec2vec_peak ?spec2vecPeak .
      ?spec2vecDoc ns1:has_spec2vec_loss ?spec2vecLoss .
  } GROUP BY ?spec2vecPeak ?spec2vecLoss 
 ORDER BY DESC(?peakFrequency) DESC(?lossFrequency)
 LIMIT 1",Medium
9," ""What are the LC-MS features that have GNPS library analogs annotation in Tabernaemontana coffeoides? Provide the features.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT ?feature
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:fast_search_gnpslibrary_analog ?analog .
  }",High
10,"""For features from the Melochia umbellata taxon in pos ionization mode with SIRIUS annotations, get the ones for which a feature in neg ionization mode with the same retention time (+/- 0.05 minutes) has the same SIRIUS annotation by comparing the InCHIKey 2D. Return the features, retention times, and InChIKey2D""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>
PREFIX wd: <http://www.wikidata.org/entity/>

SELECT ?featurePos ?retentionTime ?InChIkey2D
WHERE {
    ?rawMaterial ns1:has_wd_id wd:Q6813281 .
    ?rawMaterial ns1:has_lab_process ?labExtract .
    ?labExtract ns1:has_LCMS ?lcmsPos .
    ?lcmsPos a ns1:LCMSAnalysisPos .
    ?lcmsPos ns1:has_lcms_feature_list ?featureListPos .
    ?featureListPos ns1:has_lcms_feature ?featurePos .
    ?featurePos ns1:has_retention_time ?retentionTime .
    ?featurePos ns1:has_sirius_annotation ?siriusAnnotationPos .
    ?siriusAnnotationPos ns1:has_InChIkey2D ?InChIkey2D .

    ?labExtract ns1:has_LCMS ?lcmsNeg .
    ?lcmsNeg a ns1:LCMSAnalysisNeg .
    ?lcmsNeg ns1:has_lcms_feature_list ?featureListNeg .
    ?featureListNeg ns1:has_lcms_feature ?featureNeg .
    ?featureNeg ns1:has_retention_time ?retentionTimeNeg .
    ?featureNeg ns1:has_sirius_annotation ?siriusAnnotationNeg .
    ?siriusAnnotationNeg ns1:has_InChIkey2D ?InChIkey2D .

    FILTER (ABS(?retentionTime - ?retentionTimeNeg) <= 0.05)
}",High
