submittedTaxon
Datura metel
Melia azedarach
Artemisia capillaris
Arctium lappa
Pyrola japonica
Hemerocallis minor
Eupatorium fortunei
Campsis grandiflora
Silene firma
Saururus chinensis
Hylotelephium erythrostictum
Geranium thunbergii
Fallopia multiflora
Aconitum ciliare
Phytolacca acinosa
Hibiscus syriacus
Peucedanum japonicum
Euphorbia pekinensis
Picrasma quassioides
Cremastra appendiculata
Ginkgo biloba
Platycodon grandiflorus
Digitalis purpurea
Bistorta manshuriensis
lantago asiatica
Lycopodium clavatum
Pulsatilla cernua
Equisetum hyemale
Aralia continentalis
Chrysanthemum zawadskii var. latilobum
Nuphar japonica
Rosa rugosa
Bletilla striata
Valeriana fauriei
Juncus decipiens
Chrysanthemum x morifolium
Sigesbeckia pubescens
Artemisia gmelinii
Solanum americanum
Fritillaria thunbergii
Castanea crenata
Polygala tenuifolia
Trachelospermum asiaticum
Triticum aestivum
Lophatherum gracile
Boehmeria nivea
Crataegus pinnatifida
Rehmannia glutinosa
Platycladus orientalis
Zostera marina
Orobanche coerulescens
Lobelia chinensis
Nelumbo nucifera
Ostericum grosseserratum
Juglans regia
Ziziphus jujuba
Ailanthus altissima
Viola mandshurica
Agastache rugosa
Tamarix chinensis
Stemona japonica
Magnolia obovata
Capsicum annuum
Chrysanthemum indicum
Dianthus chinensis
Cannabis sativa
Adenophora remotiflora
Sambucus williamsii
Artemisia princeps
Citrus reticulata
Chelidonium majus subsp. asiaticum
Dalbergia odorifera
Alcea rosea
Cirsium arvense
Trichosanthes kirilowii
Allium cepa
Allium sativum
Punica granatum
Oryza sativa
Morus alba
Angelica dahurica
Tribulus terrestris
Cocculus orbiculatus
Zingiber officinale
Euonymus alatus
Pueraria montana var. lobata
Phragmites australis
Fraxinus chinensis subsp. rhynchophylla
Curcuma zedoaria
Sophora flavescens
Combretum indicum
Euphorbia kansui
Viscum coloratum
Humulus scandens
Scopolia japonica
Lablab purpureus
Rhaponticum uniflorum
Inula helenium
Syzygium aromaticum
Linum usitatissimum
Myristica fragrans
Broussonetia papyrifera
Albizia julibrissin
Oldenlandia diffusa
Zea mays
Cuscuta chinensis
Prunus humilis
Aster tataricus
Gleditsia japonica
Benincasa hispida
Adenophora triphylla
Piper nigrum
Prunella vulgaris
Liriope muscari
Leonurus japonicus
Dimocarpus longan
Orostachys japonica
Bassia scoparia
Uncaria sinensis
Veratrum nigrum
Hydnocarpus anthelminthicus
Clematis chinensis
Lygodium japonicum
Acer pictum
Lycium chinense
Arisaema amurense
Rheum palmatum
Cornus officinalis
Gynochthodes officinalis
Hordeum vulgare
Rosa laevigata
Prunus mume
Dipsacus inermis
Perilla frutescens
Lonicera japonica
Schisandra chinensis
Cucumis melo
Raphanus sativus
Cistanche deserticola
Sanguisorba officinalis
Cynomorium songaricum
Citrus aurantium
Anemarrhena asphodeloides
Sparganium stoloniferum
Brucea javanica
Boswellia sacra
Malva verticillata
Panax ginseng
Paeonia lactiflora
Peucedanum praeruptorum
Cullen corylifolium
Gentiana scabra
Amomum kravanh
Achyranthes bidentata
Elsholtzia ciliata
Asarum heterotropoides
Dryobalanops aromatica
Potentilla chinensis
Alpinia hainanensis
Cyperus rotundus
Lepidium apetalum
Gastrodia elata
Asparagus cochinchinensis
Smilax china
Phyllostachys nigra
Scrophularia buergeriana
Lycopus lucidus
Cnidium officinale
Artemisia annua
Lanxangia tsaoko
Citrus trifoliata
Celosia argentea
Atractylodes lancea
Reynoutria japonica
Xanthium strumarium
Eclipta prostrata
Prunus armeniaca
Schizonepeta tenuifolia
Trigonella foenum-graecum
Coix lacryma-jobi var. ma-yuen
Prunus tomentosa
Alisma plantago-aquatica subsp. orientale
Pinellia ternata
Dioscorea polystachya
Vigna angularis
Tetrapanax papyrifer
Gardenia jasminoides
Corydalis turtschaninovii
Nardostachys jatamansi
Isatis tinctoria
Dioscorea tokoro
Codonopsis pilosula
Polygonum aviculare
Codonopsis lanceolata
Erycibe obtusifolia
Ampelopsis japonica
Patrinia scabiosifolia
Lysimachia foenum-graecum
Scutellaria barbata
Lindera obtusiloba
Ephedra sinica
Typha orientalis
Atractylodes japonica
Piper longum
Dryopteris crassirhizoma
Aconitum carmichaelii
Scutellaria baicalensis
Iris domestica
Scurrula parasitica
Actaea heracleifolia
Prunus persica
Lilium lancifolium
Tussilago farfara
Curcuma longa
Pogostemon cablin
Selaginella tamariscina
Polygonatum sibiricum
Momordica cochinchinensis
Pyrrosia lingua
Lindera aggregata
Eucommia ulmoides
Ipomoea nil
Vitex trifolia subsp. litoralis
Scaphium affine
Dictamnus albus
Actinidia chinensis
Chaenomeles sinensis
Aristolochia debilis
Torilis japonica
Saussurea costus
Inula japonica
Aloe ferox
Areca catechu
Taraxacum platycarpum
Lysimachia christinae
Cirsium japonicum
Commiphora myrrha
Strychnos ignatii
Pinus densiflora
Astragalus propinquus
Agrimonia pilosa
Eriobotrya japonica
Phellodendron amurense
Magnolia denudata
Cibotium barometz
Alpinia officinarum
Acorus gramineus
Biancaea sappan
Buddleja officinalis
Senna obtusifolia
Portulaca oleracea
Ligustrum lucidum
Vincetoxicum atratum
Houttuynia cordata
Gentiana macrophylla
Strychnos nux-vomica
Aglaomorpha fortunei
Polygonatum odoratum
Mentha canadensis
Rubus coreanus
Cynanchum wilfordii
Anethum graveolens
Luffa aegyptiaca
Bupleurum falcatum
Spirodela polyrrhiza
Cinnamomum verum
Ligusticum tenuissimum
Allium tuberosum
Gossypium arboreum
Dendrobium moniliforme
Curculigo orchioides
Zanthoxylum schinifolium
Cirsium japonicum var. maackii
Ulmus macrocarpa
Plantago asiatica
Akebia quinata
Paeonia suffruticosa
Forsythia suspensa
Rumex japonicus
Tetradium ruticarpum
Eleutherococcus senticosus
Lithospermum erythrorhizon
Coptis japonica
Sinomenium acutum
Illicium verum
Saposhnikovia divaricata
Rosa multiflora
Cinnamomum aromaticum
Epimedium koreanum
Wolfiporia cocos
Glycyrrhiza uralensis
Eleutherococcus sessiliflorus
Adenophora triphylla var. japonica
Angelica gigas
Glechoma longituba
Aconitum kusnezoffii
Sophora tonkinensis
Rubia argyi
Glehnia littoralis
Senna sulfurea
Cordyline fruticosa
Goniothalamus gabriacianus
Stereospermum neuranthum
Vitex peduncularis
Eperua falcata
Homonoia riparia
Flemingia macrophylla
Balakata baccata
Isertia coccinea
Piper massiei
Solena amplexicaulis
Garcinia multiflora
Dalbergia dongnaiensis
Hydrocharis dubia
Geissospermum laeve
Euterpe oleracea
Nephrolepis exaltata
Ehretia lycioides
Streblus ilicifolius
Flemingia grahamiana
Bagassa guianensis
Dracontium polyphyllum
Garcinia xanthochymus
Phoebe tavoyana
Dalbergia stipulacea
Urena repanda
Indigofera atriceps
Ziziphus rugosa
Hodgsonia macrocarpa
Musa sp.
Antidesma acidum
Pinus merkusii
Eucalyptus camaldulensis
Uncaria guianensis
Casearia pitumba
Bismarckia nobilis
Eriophyllum confertiflorum
Amomum verum
Fagus sylvatica
Ribes nigrum
Ardisia ionantha
Corymbia citriodora
Podanthus ovatifolius
Thymus vulgaris
Baccaurea ramiflora
Sphagneticola calendulacea
Hopea ferrea
Rothmannia attopevensis
Huperzia serrata
Fernandoa acutangula
Quassia africana
Cinchona calisaya
Garcinia pauciflora
Garcinia chapelieri
Moringa oleifera
Sterculia lanceolata
Simmondsia chinensis
Artemisia dracunculus
Moringa drouhardii
Atropa belladonna
Artocarpus heterophyllus
Bidens pilosa
Phoenix canariensis
Calophyllum inophyllum
Melaleuca leucadendra
Chrysanthemum morifolium
Quassia amara
Croton alienus
Artocarpus altilis
Origanum vulgare
Cyperus esculentus
Eriophyllum lanatum
Connarus cochinchinensis
Seriphidium cinum
Pseuderanthemum crenulatum
Lonicera tatarica
Eucalyptus robusta
Phyllostachys sp.
Abies alba
Garcinia verrucosa
Tropaeolum majus
Viburnum sambucinum
Vitex pinnata
Castanopsis purpurella
Clausena wallichii
Pandanus corniferus
Tabernaemontana bovina
Uraria crinita
Syzygium formosum
Dioon edule
Ziziphus mauritiana
Wedelia procumbens
Meyna pierrei
Aporosa villosa
Helicteres angustifolia
Litsea monopetala
Mallotus paniculatus
Embelia tsjeriam-cottam
Wrightia arborea
Thyrsanthera suborbicularis
Tephrosia vestita
Jasminum nervosum
Toxocarpus bonii
Capparis micracantha
Tradescantia zebrina
Talipariti tiliaceum
Lygodium falcatum
Bursera fagaroides
Bauhinia viridescens
Ceratozamia miqueliana
Bombax anceps
Tetrastigma cruciatum
Terminalia calamansanay
Tetracera indica
